"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.57462265427E-001, +0.00000000000E+000
+4.20200000000E+005, +5.58942145001E-001, +0.00000000000E+000
+4.20400000000E+005, +5.59792166156E-001, +0.00000000000E+000
+4.20600000000E+005, +5.59545402470E-001, +0.00000000000E+000
+4.20800000000E+005, +5.60053229527E-001, +0.00000000000E+000
+4.21000000000E+005, +5.60338889300E-001, +0.00000000000E+000
+4.21200000000E+005, +5.60293446066E-001, +0.00000000000E+000
+4.21400000000E+005, +5.60513536217E-001, +0.00000000000E+000
+4.21600000000E+005, +5.60819149374E-001, +0.00000000000E+000
+4.21800000000E+005, +5.61062584733E-001, +0.00000000000E+000
+4.22000000000E+005, +5.61204176967E-001, +0.00000000000E+000
+4.22200000000E+005, +5.61796182974E-001, +0.00000000000E+000
+4.22400000000E+005, +5.61633658704E-001, +0.00000000000E+000
+4.22600000000E+005, +5.61294882679E-001, +0.00000000000E+000
+4.22800000000E+005, +5.61860334890E-001, +0.00000000000E+000
+4.23000000000E+005, +5.61914609475E-001, +0.00000000000E+000
+4.23200000000E+005, +5.62207237791E-001, +0.00000000000E+000
+4.23400000000E+005, +5.62249080290E-001, +0.00000000000E+000
+4.23600000000E+005, +5.62478103650E-001, +0.00000000000E+000
+4.23800000000E+005, +5.62716950843E-001, +0.00000000000E+000
+4.24000000000E+005, +5.62793307192E-001, +0.00000000000E+000
+4.24200000000E+005, +5.63200979327E-001, +0.00000000000E+000
+4.24400000000E+005, +5.63917161635E-001, +0.00000000000E+000
+4.24600000000E+005, +5.63914686205E-001, +0.00000000000E+000
+4.24800000000E+005, +5.64207041830E-001, +0.00000000000E+000
+4.25000000000E+005, +5.64067685475E-001, +0.00000000000E+000
+4.25200000000E+005, +5.64107897306E-001, +0.00000000000E+000
+4.25400000000E+005, +5.64228608385E-001, +0.00000000000E+000
+4.25600000000E+005, +5.64753388778E-001, +0.00000000000E+000
+4.25800000000E+005, +5.64401263593E-001, +0.00000000000E+000
+4.26000000000E+005, +5.64884751253E-001, +0.00000000000E+000
+4.26200000000E+005, +5.64664610057E-001, +0.00000000000E+000
+4.26400000000E+005, +5.65494750244E-001, +0.00000000000E+000
+4.26600000000E+005, +5.66111474418E-001, +0.00000000000E+000
+4.26800000000E+005, +5.66189617689E-001, +0.00000000000E+000
+4.27000000000E+005, +5.66068642634E-001, +0.00000000000E+000
+4.27200000000E+005, +5.66255204911E-001, +0.00000000000E+000
+4.27400000000E+005, +5.66664152506E-001, +0.00000000000E+000
+4.27600000000E+005, +5.66822704323E-001, +0.00000000000E+000
+4.27800000000E+005, +5.67222058770E-001, +0.00000000000E+000
+4.28000000000E+005, +5.66870296644E-001, +0.00000000000E+000
+4.28200000000E+005, +5.67445594378E-001, +0.00000000000E+000
+4.28400000000E+005, +5.67991688858E-001, +0.00000000000E+000
+4.28600000000E+005, +5.67863869933E-001, +0.00000000000E+000
+4.28800000000E+005, +5.67771362599E-001, +0.00000000000E+000
+4.29000000000E+005, +5.68073830877E-001, +0.00000000000E+000
+4.29200000000E+005, +5.68492890225E-001, +0.00000000000E+000
+4.29400000000E+005, +5.68636337520E-001, +0.00000000000E+000
+4.29600000000E+005, +5.69052848523E-001, +0.00000000000E+000
+4.29800000000E+005, +5.69224208435E-001, +0.00000000000E+000
+4.30000000000E+005, +5.69189272450E-001, +0.00000000000E+000
+4.30200000000E+005, +5.69099188329E-001, +0.00000000000E+000
+4.30400000000E+005, +5.69745831792E-001, +0.00000000000E+000
+4.30600000000E+005, +5.69312046636E-001, +0.00000000000E+000
+4.30800000000E+005, +5.69635854146E-001, +0.00000000000E+000
+4.31000000000E+005, +5.70019572566E-001, +0.00000000000E+000
+4.31200000000E+005, +5.70174834389E-001, +0.00000000000E+000
+4.31400000000E+005, +5.70269957543E-001, +0.00000000000E+000
+4.31600000000E+005, +5.70574791433E-001, +0.00000000000E+000
+4.31800000000E+005, +5.70640123862E-001, +0.00000000000E+000
+4.32000000000E+005, +5.71120251546E-001, +0.00000000000E+000
+4.32200000000E+005, +5.71011865006E-001, +0.00000000000E+000
+4.32400000000E+005, +5.71043571296E-001, +0.00000000000E+000
+4.32600000000E+005, +5.70948706064E-001, +0.00000000000E+000
+4.32800000000E+005, +5.70566137898E-001, +0.00000000000E+000
+4.33000000000E+005, +5.71210747617E-001, +0.00000000000E+000
+4.33200000000E+005, +5.71507608878E-001, +0.00000000000E+000
+4.33400000000E+005, +5.71201768272E-001, +0.00000000000E+000
+4.33600000000E+005, +5.71383841369E-001, +0.00000000000E+000
+4.33800000000E+005, +5.71265763500E-001, +0.00000000000E+000
+4.34000000000E+005, +5.71611017338E-001, +0.00000000000E+000
+4.34200000000E+005, +5.71272012267E-001, +0.00000000000E+000
+4.34400000000E+005, +5.71024843968E-001, +0.00000000000E+000
+4.34600000000E+005, +5.70890053224E-001, +0.00000000000E+000
+4.34800000000E+005, +5.70638389159E-001, +0.00000000000E+000
+4.35000000000E+005, +5.70304782009E-001, +0.00000000000E+000
+4.35200000000E+005, +5.70246033800E-001, +0.00000000000E+000
+4.35400000000E+005, +5.70000884113E-001, +0.00000000000E+000
+4.35600000000E+005, +5.69156656188E-001, +0.00000000000E+000
+4.35800000000E+005, +5.68133931814E-001, +0.00000000000E+000
+4.36000000000E+005, +5.67327442310E-001, +0.00000000000E+000
+4.36200000000E+005, +5.66169350348E-001, +0.00000000000E+000
+4.36400000000E+005, +5.65529278561E-001, +0.00000000000E+000
+4.36600000000E+005, +5.64423421577E-001, +0.00000000000E+000
+4.36800000000E+005, +5.62114756317E-001, +0.00000000000E+000
+4.37000000000E+005, +5.60592701607E-001, +0.00000000000E+000
+4.37200000000E+005, +5.58610110436E-001, +0.00000000000E+000
+4.37400000000E+005, +5.56545367018E-001, +0.00000000000E+000
+4.37600000000E+005, +5.53986785530E-001, +0.00000000000E+000
+4.37800000000E+005, +5.50391208638E-001, +0.00000000000E+000
+4.38000000000E+005, +5.46502081252E-001, +0.00000000000E+000
+4.38200000000E+005, +5.42748327054E-001, +0.00000000000E+000
+4.38400000000E+005, +5.38701937715E-001, +0.00000000000E+000
+4.38600000000E+005, +5.33766164757E-001, +0.00000000000E+000
+4.38800000000E+005, +5.28908813863E-001, +0.00000000000E+000
+4.39000000000E+005, +5.23925351851E-001, +0.00000000000E+000
+4.39200000000E+005, +5.18002561183E-001, +0.00000000000E+000
+4.39400000000E+005, +5.14066580552E-001, +0.00000000000E+000
+4.39600000000E+005, +5.08230851559E-001, +0.00000000000E+000
+4.39800000000E+005, +5.03890151377E-001, +0.00000000000E+000
+4.40000000000E+005, +5.00102920421E-001, +0.00000000000E+000
+4.40200000000E+005, +4.97724582722E-001, +0.00000000000E+000
+4.40400000000E+005, +4.96221380588E-001, +0.00000000000E+000
+4.40600000000E+005, +4.95823408237E-001, +0.00000000000E+000
+4.40800000000E+005, +4.96731870998E-001, +0.00000000000E+000
+4.41000000000E+005, +4.98996391203E-001, +0.00000000000E+000
+4.41200000000E+005, +5.02115726682E-001, +0.00000000000E+000
+4.41400000000E+005, +5.05626404401E-001, +0.00000000000E+000
