"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.56988585786E-001, +0.00000000000E+000
+4.20200000000E+005, +5.59347608172E-001, +0.00000000000E+000
+4.20400000000E+005, +5.59732804567E-001, +0.00000000000E+000
+4.20600000000E+005, +5.60246120384E-001, +0.00000000000E+000
+4.20800000000E+005, +5.60183912179E-001, +0.00000000000E+000
+4.21000000000E+005, +5.60048554426E-001, +0.00000000000E+000
+4.21200000000E+005, +5.59459201318E-001, +0.00000000000E+000
+4.21400000000E+005, +5.60200975207E-001, +0.00000000000E+000
+4.21600000000E+005, +5.60989198681E-001, +0.00000000000E+000
+4.21800000000E+005, +5.61345203534E-001, +0.00000000000E+000
+4.22000000000E+005, +5.61501770822E-001, +0.00000000000E+000
+4.22200000000E+005, +5.61646461819E-001, +0.00000000000E+000
+4.22400000000E+005, +5.61321944342E-001, +0.00000000000E+000
+4.22600000000E+005, +5.61408905048E-001, +0.00000000000E+000
+4.22800000000E+005, +5.61591617402E-001, +0.00000000000E+000
+4.23000000000E+005, +5.62107091350E-001, +0.00000000000E+000
+4.23200000000E+005, +5.62003050397E-001, +0.00000000000E+000
+4.23400000000E+005, +5.61953374083E-001, +0.00000000000E+000
+4.23600000000E+005, +5.62366306171E-001, +0.00000000000E+000
+4.23800000000E+005, +5.62577929754E-001, +0.00000000000E+000
+4.24000000000E+005, +5.62970251227E-001, +0.00000000000E+000
+4.24200000000E+005, +5.63562487362E-001, +0.00000000000E+000
+4.24400000000E+005, +5.63600297999E-001, +0.00000000000E+000
+4.24600000000E+005, +5.63657636506E-001, +0.00000000000E+000
+4.24800000000E+005, +5.64097018782E-001, +0.00000000000E+000
+4.25000000000E+005, +5.64292975558E-001, +0.00000000000E+000
+4.25200000000E+005, +5.64426225690E-001, +0.00000000000E+000
+4.25400000000E+005, +5.64659741744E-001, +0.00000000000E+000
+4.25600000000E+005, +5.64917916316E-001, +0.00000000000E+000
+4.25800000000E+005, +5.65027912957E-001, +0.00000000000E+000
+4.26000000000E+005, +5.65180591394E-001, +0.00000000000E+000
+4.26200000000E+005, +5.65450512530E-001, +0.00000000000E+000
+4.26400000000E+005, +5.65101078793E-001, +0.00000000000E+000
+4.26600000000E+005, +5.65643334790E-001, +0.00000000000E+000
+4.26800000000E+005, +5.65459884658E-001, +0.00000000000E+000
+4.27000000000E+005, +5.66641257908E-001, +0.00000000000E+000
+4.27200000000E+005, +5.67066723094E-001, +0.00000000000E+000
+4.27400000000E+005, +5.66419849923E-001, +0.00000000000E+000
+4.27600000000E+005, +5.66881717998E-001, +0.00000000000E+000
+4.27800000000E+005, +5.67502176522E-001, +0.00000000000E+000
+4.28000000000E+005, +5.66818621620E-001, +0.00000000000E+000
+4.28200000000E+005, +5.67623385776E-001, +0.00000000000E+000
+4.28400000000E+005, +5.67067549955E-001, +0.00000000000E+000
+4.28600000000E+005, +5.67948792588E-001, +0.00000000000E+000
+4.28800000000E+005, +5.68386941207E-001, +0.00000000000E+000
+4.29000000000E+005, +5.67665217519E-001, +0.00000000000E+000
+4.29200000000E+005, +5.68472022069E-001, +0.00000000000E+000
+4.29400000000E+005, +5.68581965554E-001, +0.00000000000E+000
+4.29600000000E+005, +5.68957935239E-001, +0.00000000000E+000
+4.29800000000E+005, +5.68954719339E-001, +0.00000000000E+000
+4.30000000000E+005, +5.69666415200E-001, +0.00000000000E+000
+4.30200000000E+005, +5.69735767905E-001, +0.00000000000E+000
+4.30400000000E+005, +5.69917778529E-001, +0.00000000000E+000
+4.30600000000E+005, +5.69664432377E-001, +0.00000000000E+000
+4.30800000000E+005, +5.70424624025E-001, +0.00000000000E+000
+4.31000000000E+005, +5.70350950632E-001, +0.00000000000E+000
+4.31200000000E+005, +5.70709181055E-001, +0.00000000000E+000
+4.31400000000E+005, +5.70602229378E-001, +0.00000000000E+000
+4.31600000000E+005, +5.70216327254E-001, +0.00000000000E+000
+4.31800000000E+005, +5.70628550125E-001, +0.00000000000E+000
+4.32000000000E+005, +5.70411557653E-001, +0.00000000000E+000
+4.32200000000E+005, +5.71068038067E-001, +0.00000000000E+000
+4.32400000000E+005, +5.70871645753E-001, +0.00000000000E+000
+4.32600000000E+005, +5.71350221929E-001, +0.00000000000E+000
+4.32800000000E+005, +5.71374217186E-001, +0.00000000000E+000
+4.33000000000E+005, +5.71812291140E-001, +0.00000000000E+000
+4.33200000000E+005, +5.71372438050E-001, +0.00000000000E+000
+4.33400000000E+005, +5.71324649027E-001, +0.00000000000E+000
+4.33600000000E+005, +5.71116872746E-001, +0.00000000000E+000
+4.33800000000E+005, +5.71668511649E-001, +0.00000000000E+000
+4.34000000000E+005, +5.71487601230E-001, +0.00000000000E+000
+4.34200000000E+005, +5.70711721130E-001, +0.00000000000E+000
+4.34400000000E+005, +5.71215984341E-001, +0.00000000000E+000
+4.34600000000E+005, +5.70623416210E-001, +0.00000000000E+000
+4.34800000000E+005, +5.70145570383E-001, +0.00000000000E+000
+4.35000000000E+005, +5.70577602227E-001, +0.00000000000E+000
+4.35200000000E+005, +5.70082962695E-001, +0.00000000000E+000
+4.35400000000E+005, +5.69258909452E-001, +0.00000000000E+000
+4.35600000000E+005, +5.68919218068E-001, +0.00000000000E+000
+4.35800000000E+005, +5.67982715709E-001, +0.00000000000E+000
+4.36000000000E+005, +5.67550534173E-001, +0.00000000000E+000
+4.36200000000E+005, +5.66473580894E-001, +0.00000000000E+000
+4.36400000000E+005, +5.65236724703E-001, +0.00000000000E+000
+4.36600000000E+005, +5.64099024296E-001, +0.00000000000E+000
+4.36800000000E+005, +5.61896289880E-001, +0.00000000000E+000
+4.37000000000E+005, +5.60479163057E-001, +0.00000000000E+000
+4.37200000000E+005, +5.58050157035E-001, +0.00000000000E+000
+4.37400000000E+005, +5.55690189869E-001, +0.00000000000E+000
+4.37600000000E+005, +5.53387105493E-001, +0.00000000000E+000
+4.37800000000E+005, +5.50208739396E-001, +0.00000000000E+000
+4.38000000000E+005, +5.45800639540E-001, +0.00000000000E+000
+4.38200000000E+005, +5.42710876150E-001, +0.00000000000E+000
+4.38400000000E+005, +5.37778825702E-001, +0.00000000000E+000
+4.38600000000E+005, +5.33415068122E-001, +0.00000000000E+000
+4.38800000000E+005, +5.27991648788E-001, +0.00000000000E+000
+4.39000000000E+005, +5.23375390767E-001, +0.00000000000E+000
+4.39200000000E+005, +5.17825753165E-001, +0.00000000000E+000
+4.39400000000E+005, +5.12532606185E-001, +0.00000000000E+000
+4.39600000000E+005, +5.07322926026E-001, +0.00000000000E+000
+4.39800000000E+005, +5.03708887476E-001, +0.00000000000E+000
+4.40000000000E+005, +5.00215994444E-001, +0.00000000000E+000
+4.40200000000E+005, +4.97670070740E-001, +0.00000000000E+000
+4.40400000000E+005, +4.96408062199E-001, +0.00000000000E+000
+4.40600000000E+005, +4.96399723481E-001, +0.00000000000E+000
+4.40800000000E+005, +4.98011098225E-001, +0.00000000000E+000
+4.41000000000E+005, +4.99383655688E-001, +0.00000000000E+000
+4.41200000000E+005, +5.03240486834E-001, +0.00000000000E+000
+4.41400000000E+005, +5.07081730852E-001, +0.00000000000E+000
+4.41600000000E+005, +5.10355280087E-001, +0.00000000000E+000
+4.41800000000E+005, +5.14899230871E-001, +0.00000000000E+000
+4.42000000000E+005, +5.18358085320E-001, +0.00000000000E+000
+4.42200000000E+005, +5.22415199289E-001, +0.00000000000E+000
+4.42400000000E+005, +5.26030565082E-001, +0.00000000000E+000
+4.42600000000E+005, +5.29553673212E-001, +0.00000000000E+000
+4.42800000000E+005, +5.31820383811E-001, +0.00000000000E+000
+4.43000000000E+005, +5.34577404284E-001, +0.00000000000E+000
+4.43200000000E+005, +5.36607865684E-001, +0.00000000000E+000
+4.43400000000E+005, +5.39190457286E-001, +0.00000000000E+000
+4.43600000000E+005, +5.41307121214E-001, +0.00000000000E+000
+4.43800000000E+005, +5.43446067775E-001, +0.00000000000E+000
+4.44000000000E+005, +5.44887023432E-001, +0.00000000000E+000
+4.44200000000E+005, +5.46704601917E-001, +0.00000000000E+000
+4.44400000000E+005, +5.47966019446E-001, +0.00000000000E+000
+4.44600000000E+005, +5.49405917079E-001, +0.00000000000E+000
+4.44800000000E+005, +5.50991103488E-001, +0.00000000000E+000
