"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.57460273866E-001, +0.00000000000E+000
+4.20200000000E+005, +5.59215291534E-001, +0.00000000000E+000
+4.20400000000E+005, +5.59170260526E-001, +0.00000000000E+000
+4.20600000000E+005, +5.60115670955E-001, +0.00000000000E+000
+4.20800000000E+005, +5.60185406787E-001, +0.00000000000E+000
+4.21000000000E+005, +5.60622162700E-001, +0.00000000000E+000
+4.21200000000E+005, +5.60839398156E-001, +0.00000000000E+000
+4.21400000000E+005, +5.60761680786E-001, +0.00000000000E+000
+4.21600000000E+005, +5.61115875212E-001, +0.00000000000E+000
+4.21800000000E+005, +5.61031678287E-001, +0.00000000000E+000
+4.22000000000E+005, +5.61659256918E-001, +0.00000000000E+000
+4.22200000000E+005, +5.62435105697E-001, +0.00000000000E+000
+4.22400000000E+005, +5.61523676947E-001, +0.00000000000E+000
+4.22600000000E+005, +5.62280717139E-001, +0.00000000000E+000
+4.22800000000E+005, +5.62794796900E-001, +0.00000000000E+000
+4.23000000000E+005, +5.62837528664E-001, +0.00000000000E+000
+4.23200000000E+005, +5.63226807906E-001, +0.00000000000E+000
+4.23400000000E+005, +5.63372255917E-001, +0.00000000000E+000
+4.23600000000E+005, +5.62758153490E-001, +0.00000000000E+000
+4.23800000000E+005, +5.63767169407E-001, +0.00000000000E+000
+4.24000000000E+005, +5.63989823747E-001, +0.00000000000E+000
+4.24200000000E+005, +5.63321628620E-001, +0.00000000000E+000
+4.24400000000E+005, +5.64200473496E-001, +0.00000000000E+000
+4.24600000000E+005, +5.64420138677E-001, +0.00000000000E+000
+4.24800000000E+005, +5.64570228845E-001, +0.00000000000E+000
+4.25000000000E+005, +5.64778860523E-001, +0.00000000000E+000
+4.25200000000E+005, +5.64324473126E-001, +0.00000000000E+000
+4.25400000000E+005, +5.65028890355E-001, +0.00000000000E+000
+4.25600000000E+005, +5.65036794407E-001, +0.00000000000E+000
+4.25800000000E+005, +5.65106316679E-001, +0.00000000000E+000
+4.26000000000E+005, +5.65863202880E-001, +0.00000000000E+000
+4.26200000000E+005, +5.65642178216E-001, +0.00000000000E+000
+4.26400000000E+005, +5.66125530602E-001, +0.00000000000E+000
+4.26600000000E+005, +5.65687932715E-001, +0.00000000000E+000
+4.26800000000E+005, +5.66311174877E-001, +0.00000000000E+000
+4.27000000000E+005, +5.66722502829E-001, +0.00000000000E+000
+4.27200000000E+005, +5.66456805466E-001, +0.00000000000E+000
+4.27400000000E+005, +5.66775845755E-001, +0.00000000000E+000
+4.27600000000E+005, +5.67493470017E-001, +0.00000000000E+000
+4.27800000000E+005, +5.67455603334E-001, +0.00000000000E+000
+4.28000000000E+005, +5.68009679632E-001, +0.00000000000E+000
+4.28200000000E+005, +5.67697368752E-001, +0.00000000000E+000
+4.28400000000E+005, +5.67990236405E-001, +0.00000000000E+000
+4.28600000000E+005, +5.67916278662E-001, +0.00000000000E+000
+4.28800000000E+005, +5.68291834537E-001, +0.00000000000E+000
+4.29000000000E+005, +5.68628660124E-001, +0.00000000000E+000
+4.29200000000E+005, +5.69094818733E-001, +0.00000000000E+000
+4.29400000000E+005, +5.69026354158E-001, +0.00000000000E+000
+4.29600000000E+005, +5.68985018822E-001, +0.00000000000E+000
+4.29800000000E+005, +5.69280571539E-001, +0.00000000000E+000
+4.30000000000E+005, +5.69613121149E-001, +0.00000000000E+000
+4.30200000000E+005, +5.69789847492E-001, +0.00000000000E+000
+4.30400000000E+005, +5.70055864667E-001, +0.00000000000E+000
+4.30600000000E+005, +5.70140774808E-001, +0.00000000000E+000
+4.30800000000E+005, +5.70764207635E-001, +0.00000000000E+000
+4.31000000000E+005, +5.70287358182E-001, +0.00000000000E+000
+4.31200000000E+005, +5.70129216011E-001, +0.00000000000E+000
+4.31400000000E+005, +5.70330379032E-001, +0.00000000000E+000
+4.31600000000E+005, +5.70524903834E-001, +0.00000000000E+000
+4.31800000000E+005, +5.71198186345E-001, +0.00000000000E+000
+4.32000000000E+005, +5.70940885895E-001, +0.00000000000E+000
+4.32200000000E+005, +5.70703484218E-001, +0.00000000000E+000
+4.32400000000E+005, +5.70970263345E-001, +0.00000000000E+000
+4.32600000000E+005, +5.70845676174E-001, +0.00000000000E+000
+4.32800000000E+005, +5.71099731759E-001, +0.00000000000E+000
+4.33000000000E+005, +5.71127579038E-001, +0.00000000000E+000
+4.33200000000E+005, +5.70912179655E-001, +0.00000000000E+000
+4.33400000000E+005, +5.70384092548E-001, +0.00000000000E+000
+4.33600000000E+005, +5.70748918157E-001, +0.00000000000E+000
+4.33800000000E+005, +5.70327436175E-001, +0.00000000000E+000
+4.34000000000E+005, +5.69947202797E-001, +0.00000000000E+000
+4.34200000000E+005, +5.70024952458E-001, +0.00000000000E+000
+4.34400000000E+005, +5.69491386436E-001, +0.00000000000E+000
+4.34600000000E+005, +5.68917745357E-001, +0.00000000000E+000
+4.34800000000E+005, +5.67893406603E-001, +0.00000000000E+000
+4.35000000000E+005, +5.67380345453E-001, +0.00000000000E+000
+4.35200000000E+005, +5.66466404509E-001, +0.00000000000E+000
+4.35400000000E+005, +5.65294573666E-001, +0.00000000000E+000
+4.35600000000E+005, +5.64272266410E-001, +0.00000000000E+000
+4.35800000000E+005, +5.63076550074E-001, +0.00000000000E+000
+4.36000000000E+005, +5.61345714897E-001, +0.00000000000E+000
+4.36200000000E+005, +5.59501230984E-001, +0.00000000000E+000
+4.36400000000E+005, +5.57745836823E-001, +0.00000000000E+000
+4.36600000000E+005, +5.55104817162E-001, +0.00000000000E+000
+4.36800000000E+005, +5.51899965089E-001, +0.00000000000E+000
+4.37000000000E+005, +5.48843019460E-001, +0.00000000000E+000
+4.37200000000E+005, +5.45126876031E-001, +0.00000000000E+000
+4.37400000000E+005, +5.41365619708E-001, +0.00000000000E+000
+4.37600000000E+005, +5.36977811146E-001, +0.00000000000E+000
+4.37800000000E+005, +5.31891231864E-001, +0.00000000000E+000
+4.38000000000E+005, +5.27227558571E-001, +0.00000000000E+000
+4.38200000000E+005, +5.22308488307E-001, +0.00000000000E+000
+4.38400000000E+005, +5.16403744691E-001, +0.00000000000E+000
+4.38600000000E+005, +5.11443459596E-001, +0.00000000000E+000
+4.38800000000E+005, +5.06373454717E-001, +0.00000000000E+000
+4.39000000000E+005, +5.02192380352E-001, +0.00000000000E+000
+4.39200000000E+005, +4.97992457286E-001, +0.00000000000E+000
+4.39400000000E+005, +4.94964175971E-001, +0.00000000000E+000
+4.39600000000E+005, +4.93436216689E-001, +0.00000000000E+000
+4.39800000000E+005, +4.93401965768E-001, +0.00000000000E+000
+4.40000000000E+005, +4.93659385435E-001, +0.00000000000E+000
+4.40200000000E+005, +4.95521508421E-001, +0.00000000000E+000
+4.40400000000E+005, +4.98409344556E-001, +0.00000000000E+000
+4.40600000000E+005, +5.02497199654E-001, +0.00000000000E+000
+4.40800000000E+005, +5.06063686121E-001, +0.00000000000E+000
+4.41000000000E+005, +5.10220781509E-001, +0.00000000000E+000
+4.41200000000E+005, +5.13953983838E-001, +0.00000000000E+000
+4.41400000000E+005, +5.18071841494E-001, +0.00000000000E+000
+4.41600000000E+005, +5.21297121842E-001, +0.00000000000E+000
+4.41800000000E+005, +5.24478051665E-001, +0.00000000000E+000
+4.42000000000E+005, +5.27345785336E-001, +0.00000000000E+000
+4.42200000000E+005, +5.30325080386E-001, +0.00000000000E+000
+4.42400000000E+005, +5.32503218355E-001, +0.00000000000E+000
+4.42600000000E+005, +5.35872381476E-001, +0.00000000000E+000
+4.42800000000E+005, +5.37142832615E-001, +0.00000000000E+000
+4.43000000000E+005, +5.40126495822E-001, +0.00000000000E+000
+4.43200000000E+005, +5.41453186037E-001, +0.00000000000E+000
+4.43400000000E+005, +5.43272226693E-001, +0.00000000000E+000
+4.43600000000E+005, +5.45347442495E-001, +0.00000000000E+000
+4.43800000000E+005, +5.46064255556E-001, +0.00000000000E+000
+4.44000000000E+005, +5.47841348646E-001, +0.00000000000E+000
+4.44200000000E+005, +5.49168670453E-001, +0.00000000000E+000
+4.44400000000E+005, +5.50433094959E-001, +0.00000000000E+000
+4.44600000000E+005, +5.51666917046E-001, +0.00000000000E+000
+4.44800000000E+005, +5.52556164958E-001, +0.00000000000E+000
+4.45000000000E+005, +5.53893622107E-001, +0.00000000000E+000
+4.45200000000E+005, +5.54068951501E-001, +0.00000000000E+000
+4.45400000000E+005, +5.55750574179E-001, +0.00000000000E+000
+4.45600000000E+005, +5.56396836330E-001, +0.00000000000E+000
+4.45800000000E+005, +5.57203081979E-001, +0.00000000000E+000
+4.46000000000E+005, +5.57658655522E-001, +0.00000000000E+000
+4.46200000000E+005, +5.58798339850E-001, +0.00000000000E+000
+4.46400000000E+005, +5.59629867753E-001, +0.00000000000E+000
+4.46600000000E+005, +5.52667876860E-001, +0.00000000000E+000
+4.46800000000E+005, +5.64726207101E-001, +0.00000000000E+000
+4.47000000000E+005, +5.60183554271E-001, +0.00000000000E+000
+4.47200000000E+005, +5.63092965146E-001, +0.00000000000E+000
+4.47400000000E+005, +5.62726413656E-001, +0.00000000000E+000
+4.47600000000E+005, +5.63970487246E-001, +0.00000000000E+000
+4.47800000000E+005, +5.64472200597E-001, +0.00000000000E+000
+4.48000000000E+005, +5.64309850750E-001, +0.00000000000E+000
+4.48200000000E+005, +5.65327572537E-001, +0.00000000000E+000
+4.48400000000E+005, +5.65637550587E-001, +0.00000000000E+000
+4.48600000000E+005, +5.65597113078E-001, +0.00000000000E+000
+4.48800000000E+005, +5.66701442194E-001, +0.00000000000E+000
+4.49000000000E+005, +5.66668200591E-001, +0.00000000000E+000
+4.49200000000E+005, +5.67362774894E-001, +0.00000000000E+000
+4.49400000000E+005, +5.68010212826E-001, +0.00000000000E+000
+4.49600000000E+005, +5.68840584924E-001, +0.00000000000E+000
+4.49800000000E+005, +5.68453671859E-001, +0.00000000000E+000
+4.50000000000E+005, +5.68851274237E-001, +0.00000000000E+000
+4.50200000000E+005, +5.69252532033E-001, +0.00000000000E+000
+4.50400000000E+005, +5.69908847548E-001, +0.00000000000E+000
+4.50600000000E+005, +5.70573720122E-001, +0.00000000000E+000
+4.50800000000E+005, +5.71015137110E-001, +0.00000000000E+000
+4.51000000000E+005, +5.71565891548E-001, +0.00000000000E+000
+4.51200000000E+005, +5.70522972242E-001, +0.00000000000E+000
+4.51400000000E+005, +5.71143606184E-001, +0.00000000000E+000
+4.51600000000E+005, +5.71120706621E-001, +0.00000000000E+000
+4.51800000000E+005, +5.71854171299E-001, +0.00000000000E+000
+4.52000000000E+005, +5.72698518691E-001, +0.00000000000E+000
+4.52200000000E+005, +5.72819810083E-001, +0.00000000000E+000
+4.52400000000E+005, +5.73257349333E-001, +0.00000000000E+000
+4.52600000000E+005, +5.73595530169E-001, +0.00000000000E+000
+4.52800000000E+005, +5.74017282452E-001, +0.00000000000E+000
+4.53000000000E+005, +5.74497826803E-001, +0.00000000000E+000
+4.53200000000E+005, +5.74121284453E-001, +0.00000000000E+000
+4.53400000000E+005, +5.74372667695E-001, +0.00000000000E+000
+4.53600000000E+005, +5.75022747512E-001, +0.00000000000E+000
+4.53800000000E+005, +5.75558254671E-001, +0.00000000000E+000
+4.54000000000E+005, +5.75174222066E-001, +0.00000000000E+000
+4.54200000000E+005, +5.75624228728E-001, +0.00000000000E+000
+4.54400000000E+005, +5.75854301939E-001, +0.00000000000E+000
+4.54600000000E+005, +5.76277630643E-001, +0.00000000000E+000
+4.54800000000E+005, +5.76478902028E-001, +0.00000000000E+000
+4.55000000000E+005, +5.76525691512E-001, +0.00000000000E+000
+4.55200000000E+005, +5.76286784645E-001, +0.00000000000E+000
+4.55400000000E+005, +5.77039526252E-001, +0.00000000000E+000
+4.55600000000E+005, +5.77149772142E-001, +0.00000000000E+000
+4.55800000000E+005, +5.77595447222E-001, +0.00000000000E+000
+4.56000000000E+005, +5.77898560390E-001, +0.00000000000E+000
+4.56200000000E+005, +5.77600249063E-001, +0.00000000000E+000
+4.56400000000E+005, +5.78158842831E-001, +0.00000000000E+000
+4.56600000000E+005, +5.77719313848E-001, +0.00000000000E+000
+4.56800000000E+005, +5.78397533677E-001, +0.00000000000E+000
+4.57000000000E+005, +5.78293692258E-001, +0.00000000000E+000
+4.57200000000E+005, +5.79020558788E-001, +0.00000000000E+000
+4.57400000000E+005, +5.78214434093E-001, +0.00000000000E+000
+4.57600000000E+005, +5.79488481354E-001, +0.00000000000E+000
+4.57800000000E+005, +5.79617822882E-001, +0.00000000000E+000
+4.58000000000E+005, +5.79927949515E-001, +0.00000000000E+000
+4.58200000000E+005, +5.80181693565E-001, +0.00000000000E+000
+4.58400000000E+005, +5.80618589390E-001, +0.00000000000E+000
+4.58600000000E+005, +5.80084278962E-001, +0.00000000000E+000
+4.58800000000E+005, +5.80364266796E-001, +0.00000000000E+000
+4.59000000000E+005, +5.80695361754E-001, +0.00000000000E+000
