"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.56860171321E-001, +0.00000000000E+000
+4.20200000000E+005, +5.59409408509E-001, +0.00000000000E+000
+4.20400000000E+005, +5.59907887795E-001, +0.00000000000E+000
+4.20600000000E+005, +5.59753128612E-001, +0.00000000000E+000
+4.20800000000E+005, +5.60173702490E-001, +0.00000000000E+000
+4.21000000000E+005, +5.60249220289E-001, +0.00000000000E+000
+4.21200000000E+005, +5.59966705040E-001, +0.00000000000E+000
+4.21400000000E+005, +5.60102077713E-001, +0.00000000000E+000
+4.21600000000E+005, +5.60520295777E-001, +0.00000000000E+000
+4.21800000000E+005, +5.60920258953E-001, +0.00000000000E+000
+4.22000000000E+005, +5.60645166489E-001, +0.00000000000E+000
+4.22200000000E+005, +5.60945810209E-001, +0.00000000000E+000
+4.22400000000E+005, +5.61780763207E-001, +0.00000000000E+000
+4.22600000000E+005, +5.62178383646E-001, +0.00000000000E+000
+4.22800000000E+005, +5.62118383711E-001, +0.00000000000E+000
+4.23000000000E+005, +5.62390968930E-001, +0.00000000000E+000
+4.23200000000E+005, +5.62024728721E-001, +0.00000000000E+000
+4.23400000000E+005, +5.62401183675E-001, +0.00000000000E+000
+4.23600000000E+005, +5.62395598917E-001, +0.00000000000E+000
+4.23800000000E+005, +5.62743477722E-001, +0.00000000000E+000
+4.24000000000E+005, +5.63024493166E-001, +0.00000000000E+000
+4.24200000000E+005, +5.63066308877E-001, +0.00000000000E+000
+4.24400000000E+005, +5.63552868813E-001, +0.00000000000E+000
+4.24600000000E+005, +5.63488360955E-001, +0.00000000000E+000
+4.24800000000E+005, +5.63861181294E-001, +0.00000000000E+000
+4.25000000000E+005, +5.65005356496E-001, +0.00000000000E+000
+4.25200000000E+005, +5.63622259309E-001, +0.00000000000E+000
+4.25400000000E+005, +5.64257817582E-001, +0.00000000000E+000
+4.25600000000E+005, +5.65009489793E-001, +0.00000000000E+000
+4.25800000000E+005, +5.64875490858E-001, +0.00000000000E+000
+4.26000000000E+005, +5.65254269710E-001, +0.00000000000E+000
+4.26200000000E+005, +5.65532745884E-001, +0.00000000000E+000
+4.26400000000E+005, +5.65441120403E-001, +0.00000000000E+000
+4.26600000000E+005, +5.66223405992E-001, +0.00000000000E+000
+4.26800000000E+005, +5.66060792139E-001, +0.00000000000E+000
+4.27000000000E+005, +5.66605755084E-001, +0.00000000000E+000
+4.27200000000E+005, +5.66332834978E-001, +0.00000000000E+000
+4.27400000000E+005, +5.66571838542E-001, +0.00000000000E+000
+4.27600000000E+005, +5.66782334824E-001, +0.00000000000E+000
+4.27800000000E+005, +5.67155670280E-001, +0.00000000000E+000
+4.28000000000E+005, +5.67303092721E-001, +0.00000000000E+000
+4.28200000000E+005, +5.67661066307E-001, +0.00000000000E+000
+4.28400000000E+005, +5.67686317813E-001, +0.00000000000E+000
+4.28600000000E+005, +5.67794061584E-001, +0.00000000000E+000
+4.28800000000E+005, +5.67492006039E-001, +0.00000000000E+000
+4.29000000000E+005, +5.68429731141E-001, +0.00000000000E+000
+4.29200000000E+005, +5.67888295865E-001, +0.00000000000E+000
+4.29400000000E+005, +5.68678376469E-001, +0.00000000000E+000
+4.29600000000E+005, +5.68831680945E-001, +0.00000000000E+000
+4.29800000000E+005, +5.69041304054E-001, +0.00000000000E+000
+4.30000000000E+005, +5.68828482706E-001, +0.00000000000E+000
+4.30200000000E+005, +5.69366535936E-001, +0.00000000000E+000
+4.30400000000E+005, +5.69008617797E-001, +0.00000000000E+000
+4.30600000000E+005, +5.70312226384E-001, +0.00000000000E+000
+4.30800000000E+005, +5.69844679702E-001, +0.00000000000E+000
+4.31000000000E+005, +5.69898169192E-001, +0.00000000000E+000
+4.31200000000E+005, +5.70166821632E-001, +0.00000000000E+000
+4.31400000000E+005, +5.70624666329E-001, +0.00000000000E+000
+4.31600000000E+005, +5.70713875833E-001, +0.00000000000E+000
+4.31800000000E+005, +5.71054544235E-001, +0.00000000000E+000
+4.32000000000E+005, +5.70519816627E-001, +0.00000000000E+000
+4.32200000000E+005, +5.70933534538E-001, +0.00000000000E+000
+4.32400000000E+005, +5.71367735675E-001, +0.00000000000E+000
+4.32600000000E+005, +5.71332866771E-001, +0.00000000000E+000
+4.32800000000E+005, +5.71239985112E-001, +0.00000000000E+000
+4.33000000000E+005, +5.71259878557E-001, +0.00000000000E+000
+4.33200000000E+005, +5.71811453556E-001, +0.00000000000E+000
+4.33400000000E+005, +5.71415442771E-001, +0.00000000000E+000
+4.33600000000E+005, +5.71208133349E-001, +0.00000000000E+000
+4.33800000000E+005, +5.71814418450E-001, +0.00000000000E+000
+4.34000000000E+005, +5.71123554328E-001, +0.00000000000E+000
+4.34200000000E+005, +5.71232631200E-001, +0.00000000000E+000
+4.34400000000E+005, +5.71143109564E-001, +0.00000000000E+000
+4.34600000000E+005, +5.70773472452E-001, +0.00000000000E+000
+4.34800000000E+005, +5.70242674966E-001, +0.00000000000E+000
+4.35000000000E+005, +5.70596922958E-001, +0.00000000000E+000
+4.35200000000E+005, +5.69714935596E-001, +0.00000000000E+000
+4.35400000000E+005, +5.69679322422E-001, +0.00000000000E+000
+4.35600000000E+005, +5.68941077557E-001, +0.00000000000E+000
+4.35800000000E+005, +5.68827121839E-001, +0.00000000000E+000
+4.36000000000E+005, +5.67744840323E-001, +0.00000000000E+000
+4.36200000000E+005, +5.66409375874E-001, +0.00000000000E+000
+4.36400000000E+005, +5.65211377643E-001, +0.00000000000E+000
+4.36600000000E+005, +5.64414870259E-001, +0.00000000000E+000
+4.36800000000E+005, +5.63092982560E-001, +0.00000000000E+000
+4.37000000000E+005, +5.61031347759E-001, +0.00000000000E+000
+4.37200000000E+005, +5.59288962127E-001, +0.00000000000E+000
+4.37400000000E+005, +5.56728380487E-001, +0.00000000000E+000
+4.37600000000E+005, +5.54079498159E-001, +0.00000000000E+000
+4.37800000000E+005, +5.50720084522E-001, +0.00000000000E+000
+4.38000000000E+005, +5.47674192066E-001, +0.00000000000E+000
+4.38200000000E+005, +5.43178095887E-001, +0.00000000000E+000
+4.38400000000E+005, +5.39906250218E-001, +0.00000000000E+000
+4.38600000000E+005, +5.34354794421E-001, +0.00000000000E+000
+4.38800000000E+005, +5.30004410771E-001, +0.00000000000E+000
+4.39000000000E+005, +5.24717887663E-001, +0.00000000000E+000
+4.39200000000E+005, +5.18587850449E-001, +0.00000000000E+000
+4.39400000000E+005, +5.14004587723E-001, +0.00000000000E+000
+4.39600000000E+005, +5.08975685429E-001, +0.00000000000E+000
+4.39800000000E+005, +5.03848740020E-001, +0.00000000000E+000
+4.40000000000E+005, +5.00891228028E-001, +0.00000000000E+000
+4.40200000000E+005, +4.97755419113E-001, +0.00000000000E+000
+4.40400000000E+005, +4.96297761757E-001, +0.00000000000E+000
+4.40600000000E+005, +4.95837185490E-001, +0.00000000000E+000
+4.40800000000E+005, +4.96342773336E-001, +0.00000000000E+000
+4.41000000000E+005, +4.98267022681E-001, +0.00000000000E+000
+4.41200000000E+005, +5.01369655476E-001, +0.00000000000E+000
+4.41400000000E+005, +5.04695853126E-001, +0.00000000000E+000
+4.41600000000E+005, +5.08930795554E-001, +0.00000000000E+000
+4.41800000000E+005, +5.12862827923E-001, +0.00000000000E+000
+4.42000000000E+005, +5.17172869868E-001, +0.00000000000E+000
+4.42200000000E+005, +5.20596772327E-001, +0.00000000000E+000
+4.42400000000E+005, +5.24494231242E-001, +0.00000000000E+000
+4.42600000000E+005, +5.27342279798E-001, +0.00000000000E+000
+4.42800000000E+005, +5.31172388540E-001, +0.00000000000E+000
+4.43000000000E+005, +5.33229861238E-001, +0.00000000000E+000
+4.43200000000E+005, +5.36190247218E-001, +0.00000000000E+000
+4.43400000000E+005, +5.37911927817E-001, +0.00000000000E+000
+4.43600000000E+005, +5.39963098942E-001, +0.00000000000E+000
