"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.57419800417E-001, +0.00000000000E+000
+4.20200000000E+005, +5.58776135721E-001, +0.00000000000E+000
+4.20400000000E+005, +5.60303078867E-001, +0.00000000000E+000
+4.20600000000E+005, +5.60714035066E-001, +0.00000000000E+000
+4.20800000000E+005, +5.60897021318E-001, +0.00000000000E+000
+4.21000000000E+005, +5.60817401398E-001, +0.00000000000E+000
+4.21200000000E+005, +5.61293948326E-001, +0.00000000000E+000
+4.21400000000E+005, +5.61027175538E-001, +0.00000000000E+000
+4.21600000000E+005, +5.61496675233E-001, +0.00000000000E+000
+4.21800000000E+005, +5.61750447686E-001, +0.00000000000E+000
+4.22000000000E+005, +5.61737741499E-001, +0.00000000000E+000
+4.22200000000E+005, +5.62110866747E-001, +0.00000000000E+000
+4.22400000000E+005, +5.62699752864E-001, +0.00000000000E+000
+4.22600000000E+005, +5.62728702548E-001, +0.00000000000E+000
+4.22800000000E+005, +5.62993233535E-001, +0.00000000000E+000
+4.23000000000E+005, +5.62747555683E-001, +0.00000000000E+000
+4.23200000000E+005, +5.62408206828E-001, +0.00000000000E+000
+4.23400000000E+005, +5.63208060702E-001, +0.00000000000E+000
+4.23600000000E+005, +5.63452208067E-001, +0.00000000000E+000
+4.23800000000E+005, +5.63681423449E-001, +0.00000000000E+000
+4.24000000000E+005, +5.63230109542E-001, +0.00000000000E+000
+4.24200000000E+005, +5.64028097518E-001, +0.00000000000E+000
+4.24400000000E+005, +5.63910537254E-001, +0.00000000000E+000
+4.24600000000E+005, +5.64388402787E-001, +0.00000000000E+000
+4.24800000000E+005, +5.64432826436E-001, +0.00000000000E+000
+4.25000000000E+005, +5.64739530958E-001, +0.00000000000E+000
+4.25200000000E+005, +5.64916686651E-001, +0.00000000000E+000
+4.25400000000E+005, +5.65003575353E-001, +0.00000000000E+000
+4.25600000000E+005, +5.64845474833E-001, +0.00000000000E+000
+4.25800000000E+005, +5.65633790466E-001, +0.00000000000E+000
+4.26000000000E+005, +5.65666439284E-001, +0.00000000000E+000
+4.26200000000E+005, +5.66183714664E-001, +0.00000000000E+000
+4.26400000000E+005, +5.65900443002E-001, +0.00000000000E+000
+4.26600000000E+005, +5.66026475552E-001, +0.00000000000E+000
+4.26800000000E+005, +5.67077185121E-001, +0.00000000000E+000
+4.27000000000E+005, +5.67316559359E-001, +0.00000000000E+000
+4.27200000000E+005, +5.66945230011E-001, +0.00000000000E+000
+4.27400000000E+005, +5.67223833054E-001, +0.00000000000E+000
+4.27600000000E+005, +5.67550580285E-001, +0.00000000000E+000
+4.27800000000E+005, +5.67776652992E-001, +0.00000000000E+000
+4.28000000000E+005, +5.68081080611E-001, +0.00000000000E+000
+4.28200000000E+005, +5.68389977794E-001, +0.00000000000E+000
+4.28400000000E+005, +5.68675991795E-001, +0.00000000000E+000
+4.28600000000E+005, +5.68760474035E-001, +0.00000000000E+000
+4.28800000000E+005, +5.68523156098E-001, +0.00000000000E+000
+4.29000000000E+005, +5.69348232914E-001, +0.00000000000E+000
+4.29200000000E+005, +5.68714062140E-001, +0.00000000000E+000
+4.29400000000E+005, +5.69250445319E-001, +0.00000000000E+000
+4.29600000000E+005, +5.69637180825E-001, +0.00000000000E+000
+4.29800000000E+005, +5.69649244061E-001, +0.00000000000E+000
+4.30000000000E+005, +5.70300037062E-001, +0.00000000000E+000
+4.30200000000E+005, +5.70450788808E-001, +0.00000000000E+000
+4.30400000000E+005, +5.70394755880E-001, +0.00000000000E+000
+4.30600000000E+005, +5.70811429470E-001, +0.00000000000E+000
+4.30800000000E+005, +5.71055394243E-001, +0.00000000000E+000
+4.31000000000E+005, +5.70638733151E-001, +0.00000000000E+000
+4.31200000000E+005, +5.70831408808E-001, +0.00000000000E+000
+4.31400000000E+005, +5.70211264932E-001, +0.00000000000E+000
+4.31600000000E+005, +5.70714599447E-001, +0.00000000000E+000
+4.31800000000E+005, +5.70431514277E-001, +0.00000000000E+000
+4.32000000000E+005, +5.71008589222E-001, +0.00000000000E+000
+4.32200000000E+005, +5.71263814875E-001, +0.00000000000E+000
+4.32400000000E+005, +5.70761548870E-001, +0.00000000000E+000
+4.32600000000E+005, +5.70372155959E-001, +0.00000000000E+000
+4.32800000000E+005, +5.70932269689E-001, +0.00000000000E+000
+4.33000000000E+005, +5.70067469475E-001, +0.00000000000E+000
+4.33200000000E+005, +5.69833752515E-001, +0.00000000000E+000
+4.33400000000E+005, +5.70063603645E-001, +0.00000000000E+000
+4.33600000000E+005, +5.69157622642E-001, +0.00000000000E+000
+4.33800000000E+005, +5.69171252033E-001, +0.00000000000E+000
+4.34000000000E+005, +5.68784828665E-001, +0.00000000000E+000
+4.34200000000E+005, +5.67262157983E-001, +0.00000000000E+000
+4.34400000000E+005, +5.67082556816E-001, +0.00000000000E+000
+4.34600000000E+005, +5.65946559257E-001, +0.00000000000E+000
+4.34800000000E+005, +5.64352782177E-001, +0.00000000000E+000
+4.35000000000E+005, +5.63715090747E-001, +0.00000000000E+000
+4.35200000000E+005, +5.61654753748E-001, +0.00000000000E+000
+4.35400000000E+005, +5.59993021075E-001, +0.00000000000E+000
+4.35600000000E+005, +5.57254044252E-001, +0.00000000000E+000
+4.35800000000E+005, +5.55781668942E-001, +0.00000000000E+000
+4.36000000000E+005, +5.52750089651E-001, +0.00000000000E+000
+4.36200000000E+005, +5.49135608939E-001, +0.00000000000E+000
+4.36400000000E+005, +5.45015222133E-001, +0.00000000000E+000
+4.36600000000E+005, +5.40930485177E-001, +0.00000000000E+000
+4.36800000000E+005, +5.36755856600E-001, +0.00000000000E+000
+4.37000000000E+005, +5.31650891485E-001, +0.00000000000E+000
+4.37200000000E+005, +5.26339474970E-001, +0.00000000000E+000
+4.37400000000E+005, +5.20167321712E-001, +0.00000000000E+000
+4.37600000000E+005, +5.14663797134E-001, +0.00000000000E+000
+4.37800000000E+005, +5.08531520795E-001, +0.00000000000E+000
+4.38000000000E+005, +5.02277986144E-001, +0.00000000000E+000
+4.38200000000E+005, +4.97062708523E-001, +0.00000000000E+000
+4.38400000000E+005, +4.91887608795E-001, +0.00000000000E+000
+4.38600000000E+005, +4.88040052140E-001, +0.00000000000E+000
+4.38800000000E+005, +4.84621397503E-001, +0.00000000000E+000
+4.39000000000E+005, +4.83092266719E-001, +0.00000000000E+000
+4.39200000000E+005, +4.82572791625E-001, +0.00000000000E+000
+4.39400000000E+005, +4.83490572523E-001, +0.00000000000E+000
+4.39600000000E+005, +4.86229052927E-001, +0.00000000000E+000
+4.39800000000E+005, +4.90169384219E-001, +0.00000000000E+000
+4.40000000000E+005, +4.94312698496E-001, +0.00000000000E+000
+4.40200000000E+005, +4.98485573485E-001, +0.00000000000E+000
+4.40400000000E+005, +5.03568347128E-001, +0.00000000000E+000
+4.40600000000E+005, +5.08262254046E-001, +0.00000000000E+000
+4.40800000000E+005, +5.12096113005E-001, +0.00000000000E+000
+4.41000000000E+005, +5.16662576034E-001, +0.00000000000E+000
+4.41200000000E+005, +5.20471902096E-001, +0.00000000000E+000
+4.41400000000E+005, +5.22966836633E-001, +0.00000000000E+000
+4.41600000000E+005, +5.26413230752E-001, +0.00000000000E+000
+4.41800000000E+005, +5.29702632691E-001, +0.00000000000E+000
+4.42000000000E+005, +5.32170620741E-001, +0.00000000000E+000
+4.42200000000E+005, +5.33932978829E-001, +0.00000000000E+000
+4.42400000000E+005, +5.36025181217E-001, +0.00000000000E+000
+4.42600000000E+005, +5.37768675717E-001, +0.00000000000E+000
+4.42800000000E+005, +5.39963051112E-001, +0.00000000000E+000
+4.43000000000E+005, +5.41746454632E-001, +0.00000000000E+000
+4.43200000000E+005, +5.43417173851E-001, +0.00000000000E+000
+4.43400000000E+005, +5.45434216955E-001, +0.00000000000E+000
+4.43600000000E+005, +5.46102609902E-001, +0.00000000000E+000
+4.43800000000E+005, +5.47615269204E-001, +0.00000000000E+000
+4.44000000000E+005, +5.48697233381E-001, +0.00000000000E+000
+4.44200000000E+005, +5.49732224460E-001, +0.00000000000E+000
+4.44400000000E+005, +5.51756955551E-001, +0.00000000000E+000
+4.44600000000E+005, +5.52087037708E-001, +0.00000000000E+000
+4.44800000000E+005, +5.53157911742E-001, +0.00000000000E+000
