"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.54428436092E-001, +0.00000000000E+000
+4.20200000000E+005, +5.56510943198E-001, +0.00000000000E+000
+4.20400000000E+005, +5.57720604440E-001, +0.00000000000E+000
+4.20600000000E+005, +5.57782590622E-001, +0.00000000000E+000
+4.20800000000E+005, +5.57677522941E-001, +0.00000000000E+000
+4.21000000000E+005, +5.57777425276E-001, +0.00000000000E+000
+4.21200000000E+005, +5.58492993083E-001, +0.00000000000E+000
+4.21400000000E+005, +5.59012357863E-001, +0.00000000000E+000
+4.21600000000E+005, +5.59171079696E-001, +0.00000000000E+000
+4.21800000000E+005, +5.59373836308E-001, +0.00000000000E+000
+4.22000000000E+005, +5.59618336022E-001, +0.00000000000E+000
+4.22200000000E+005, +5.59652395015E-001, +0.00000000000E+000
+4.22400000000E+005, +5.60070831963E-001, +0.00000000000E+000
+4.22600000000E+005, +5.60225170275E-001, +0.00000000000E+000
+4.22800000000E+005, +5.60729826770E-001, +0.00000000000E+000
+4.23000000000E+005, +5.60334311956E-001, +0.00000000000E+000
+4.23200000000E+005, +5.60843749217E-001, +0.00000000000E+000
+4.23400000000E+005, +5.61185609805E-001, +0.00000000000E+000
+4.23600000000E+005, +5.60796231125E-001, +0.00000000000E+000
+4.23800000000E+005, +5.60935708472E-001, +0.00000000000E+000
+4.24000000000E+005, +5.61981280280E-001, +0.00000000000E+000
+4.24200000000E+005, +5.61476172865E-001, +0.00000000000E+000
+4.24400000000E+005, +5.61677213131E-001, +0.00000000000E+000
+4.24600000000E+005, +5.62000777935E-001, +0.00000000000E+000
+4.24800000000E+005, +5.61677293522E-001, +0.00000000000E+000
+4.25000000000E+005, +5.62086540646E-001, +0.00000000000E+000
+4.25200000000E+005, +5.62112230564E-001, +0.00000000000E+000
+4.25400000000E+005, +5.62155991912E-001, +0.00000000000E+000
+4.25600000000E+005, +5.63215658391E-001, +0.00000000000E+000
+4.25800000000E+005, +5.62969288655E-001, +0.00000000000E+000
+4.26000000000E+005, +5.63669227960E-001, +0.00000000000E+000
+4.26200000000E+005, +5.63654693450E-001, +0.00000000000E+000
+4.26400000000E+005, +5.63808036705E-001, +0.00000000000E+000
+4.26600000000E+005, +5.63704621293E-001, +0.00000000000E+000
+4.26800000000E+005, +5.64082977753E-001, +0.00000000000E+000
+4.27000000000E+005, +5.64206479139E-001, +0.00000000000E+000
+4.27200000000E+005, +5.64063211092E-001, +0.00000000000E+000
+4.27400000000E+005, +5.64695139513E-001, +0.00000000000E+000
+4.27600000000E+005, +5.64557580635E-001, +0.00000000000E+000
+4.27800000000E+005, +5.64690797594E-001, +0.00000000000E+000
+4.28000000000E+005, +5.65704203764E-001, +0.00000000000E+000
+4.28200000000E+005, +5.65364005326E-001, +0.00000000000E+000
+4.28400000000E+005, +5.65828035963E-001, +0.00000000000E+000
+4.28600000000E+005, +5.65779765899E-001, +0.00000000000E+000
+4.28800000000E+005, +5.65886785024E-001, +0.00000000000E+000
+4.29000000000E+005, +5.66879708516E-001, +0.00000000000E+000
+4.29200000000E+005, +5.66503783944E-001, +0.00000000000E+000
+4.29400000000E+005, +5.66401630788E-001, +0.00000000000E+000
+4.29600000000E+005, +5.67090693348E-001, +0.00000000000E+000
+4.29800000000E+005, +5.67077553595E-001, +0.00000000000E+000
+4.30000000000E+005, +5.67347495872E-001, +0.00000000000E+000
+4.30200000000E+005, +5.67260816754E-001, +0.00000000000E+000
+4.30400000000E+005, +5.67481574772E-001, +0.00000000000E+000
+4.30600000000E+005, +5.67426516304E-001, +0.00000000000E+000
+4.30800000000E+005, +5.67282043200E-001, +0.00000000000E+000
+4.31000000000E+005, +5.67812799399E-001, +0.00000000000E+000
+4.31200000000E+005, +5.67853443853E-001, +0.00000000000E+000
