hash;group;sensor;time;y_eval;minimized_freq_mean;minimized_freq_std;minimized_freq_std_err;freq_with_unc
C-1-0;C;1;0;0.48184394339421655;0.4391199030496987;2.1337644445234708e-05;6.747555634978163e-07;439120+/-21
C-1-5;C;1;5;0.48208706373851523;0.43911421875000006;5.551115123125783e-17;1.7554167342883504e-18;439114.21875000006+/-0.00000000006
C-1-10;C;1;10;0.48252829118645557;0.4391153574391593;9.817411392213743e-06;3.104538072628007e-07;439115+/-10
C-1-15;C;1;15;0.4827403544607773;0.43911605856233255;1.2427247974648038e-05;3.929840864760223e-07;439116+/-12
C-1-20;C;1;20;0.4825317048983586;0.4391065193046075;3.6739445769401746e-05;1.1618032860354681e-06;(4.3911+/-0.0004)e+05
C-1-25;C;1;25;0.48249018739277827;0.4391142187500001;1.1102230246251565e-16;3.510833468576701e-18;439114.21875000012+/-0.00000000011
C-1-30;C;1;30;0.48234120091692767;0.43911421875000006;5.551115123125783e-17;1.7554167342883504e-18;439114.21875000006+/-0.00000000006
C-15-0;C;15;0;0.5003703073416309;0.4394887647026362;1.5621109062379616e-05;4.939828421501687e-07;439489+/-16
C-15-5;C;15;5;0.5012490355621599;0.43948433914974616;1.1176761932320831e-05;3.534402457159853e-07;439484+/-11
C-15-10;C;15;10;0.5012276794276861;0.43947723828124996;2.5746093749995367e-05;8.141629710221109e-07;439477+/-26
C-15-15;C;15;15;0.501276152104881;0.4394424736107545;3.1892383422642756e-05;1.0085257162694756e-06;439442+/-32
C-15-20;C;15;20;0.5011991006766641;0.4394704761402027;3.2884617043814914e-05;1.0399028984084824e-06;439470+/-33
C-15-25;C;15;25;0.5009220323193195;0.4394506965024835;4.219779996317001e-05;1.3344116013178658e-06;(4.3945+/-0.0004)e+05
C-15-30;C;15;30;0.5010932386020254;0.43946347910474026;3.765899450864658e-05;1.1908819703909677e-06;(4.3946+/-0.0004)e+05
C-2-0;C;2;0;0.5223222346072015;0.4406876672654555;4.160903842809674e-05;1.3157933268225794e-06;(4.4069+/-0.0004)e+05
C-2-5;C;2;5;0.5221216504377848;0.440674640179728;3.289682185266006e-05;1.0402888483520587e-06;440675+/-33
C-2-10;C;2;10;0.5222704993469257;0.44065743190940354;4.212764479599167e-05;1.3321931001387314e-06;(4.4066+/-0.0004)e+05
C-2-15;C;2;15;0.5228608588746321;0.44064313167259783;5.462053084310055e-05;1.727252844716748e-06;(4.4064+/-0.0005)e+05
C-2-20;C;2;20;0.5230594941616133;0.440626175736692;3.3112818002064296e-05;1.0471192463314927e-06;440626+/-33
C-2-25;C;2;25;0.5229231555645462;0.4406440080239495;4.30161664554997e-05;1.3602906220831113e-06;(4.4064+/-0.0004)e+05
C-2-30;C;2;30;0.5234811895142581;0.4406170584596484;4.505399616335397e-05;1.4247324556868613e-06;(4.4062+/-0.0005)e+05
T-4-0;T;4;0;0.4834204696279758;0.44025120954241065;4.2194824205793855e-05;1.334317499607139e-06;(4.4025+/-0.0004)e+05
T-4-5;T;4;5;0.48530862610383085;0.4401213499823537;2.4004851218661884e-05;7.591000474444018e-07;440121+/-24
T-4-10;T;4;10;0.48535794837594215;0.440133650114459;3.608639313905173e-05;1.1411519485967677e-06;(4.4013+/-0.0004)e+05
T-4-15;T;4;15;0.48572015185220074;0.44011402343750006;1.1102230246251565e-16;3.510833468576701e-18;440114.02343750006+/-0.00000000011
T-4-20;T;4;20;0.4857533417663137;0.4401153700583585;1.067541309096062e-05;3.375862033061384e-07;440115+/-11
T-4-25;T;4;25;0.4868158809060873;0.44003843245967744;4.272862678196768e-05;1.351197819222887e-06;(4.4004+/-0.0004)e+05
T-4-30;T;4;30;0.48661527519136766;0.44000000000000017;1.6653345369377348e-16;5.266250202865052e-18;440000.00000000017+/-0.00000000017
T-5-0;T;5;0;0.492474339699469;0.43982942640486417;4.0764799715507945e-05;1.2890961546158909e-06;(4.3983+/-0.0004)e+05
T-5-5;T;5;5;0.492441995620595;0.439829512318686;4.0793199285003065e-05;1.289994227857619e-06;(4.3983+/-0.0004)e+05
T-5-10;T;5;10;0.49297289014673606;0.43979548398138;1.917092900716468e-05;6.062380052403085e-07;439795+/-19
T-5-15;T;5;15;0.4929674737124069;0.4397898727694425;2.7701127816909805e-05;8.759865765688275e-07;439790+/-28
T-5-20;T;5;20;0.49289244935831045;0.4397961187388525;1.7841807083372198e-05;5.642074795678185e-07;439796+/-18
T-5-25;T;5;25;0.4929265840181478;0.4397988844358765;9.725262557677542e-06;3.075398052541569e-07;439799+/-10
T-5-30;T;5;30;0.4931961525107591;0.4397141015625001;1.6653345369377348e-16;5.266250202865052e-18;439714.10156250012+/-0.00000000017
T-6-0;T;6;0;0.49490870000978604;0.44061599734575313;3.347732842498068e-05;1.0586460780043628e-06;440616+/-33
T-6-5;T;6;5;0.49540284979138954;0.44059783564669264;1.3474729023772177e-05;4.2610834568697233e-07;440598+/-13
T-6-10;T;6;10;0.49562783896355345;0.440570379376406;4.088535391601142e-05;1.2929084131668067e-06;(4.4057+/-0.0004)e+05
T-6-15;T;6;15;0.4957761737088668;0.4405157560824774;1.2350965817822688e-05;3.9057183287203965e-07;440516+/-12
T-6-20;T;6;20;0.4958735754773955;0.44051424796673505;5.094429902552698e-06;1.611000187213617e-07;440514+/-5
T-6-25;T;6;25;0.4962612649656299;0.44050531368731;2.585124474604459e-05;8.1748813747962e-07;440505+/-26
T-6-30;T;6;30;0.4963380883528668;0.44051077821043627;1.6202266597110407e-05;5.123606570413459e-07;440511+/-16
