"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.54178044675E-001, +0.00000000000E+000
+4.20200000000E+005, +5.55195738262E-001, +0.00000000000E+000
+4.20400000000E+005, +5.55539712310E-001, +0.00000000000E+000
+4.20600000000E+005, +5.55237162915E-001, +0.00000000000E+000
+4.20800000000E+005, +5.55298849980E-001, +0.00000000000E+000
+4.21000000000E+005, +5.55725823412E-001, +0.00000000000E+000
+4.21200000000E+005, +5.55847092145E-001, +0.00000000000E+000
+4.21400000000E+005, +5.55736127529E-001, +0.00000000000E+000
+4.21600000000E+005, +5.55983016832E-001, +0.00000000000E+000
+4.21800000000E+005, +5.56650822798E-001, +0.00000000000E+000
+4.22000000000E+005, +5.57045738645E-001, +0.00000000000E+000
+4.22200000000E+005, +5.57255847465E-001, +0.00000000000E+000
+4.22400000000E+005, +5.57393294252E-001, +0.00000000000E+000
+4.22600000000E+005, +5.57417094840E-001, +0.00000000000E+000
+4.22800000000E+005, +5.57583497803E-001, +0.00000000000E+000
+4.23000000000E+005, +5.57278356796E-001, +0.00000000000E+000
+4.23200000000E+005, +5.58057729751E-001, +0.00000000000E+000
+4.23400000000E+005, +5.57592296605E-001, +0.00000000000E+000
+4.23600000000E+005, +5.58421251177E-001, +0.00000000000E+000
+4.23800000000E+005, +5.58339388627E-001, +0.00000000000E+000
+4.24000000000E+005, +5.59403730948E-001, +0.00000000000E+000
+4.24200000000E+005, +5.59278764655E-001, +0.00000000000E+000
+4.24400000000E+005, +5.59307983315E-001, +0.00000000000E+000
+4.24600000000E+005, +5.59106230489E-001, +0.00000000000E+000
+4.24800000000E+005, +5.59300491576E-001, +0.00000000000E+000
+4.25000000000E+005, +5.59613080717E-001, +0.00000000000E+000
+4.25200000000E+005, +5.60103084985E-001, +0.00000000000E+000
+4.25400000000E+005, +5.59806177692E-001, +0.00000000000E+000
+4.25600000000E+005, +5.60727554591E-001, +0.00000000000E+000
+4.25800000000E+005, +5.60337054500E-001, +0.00000000000E+000
+4.26000000000E+005, +5.60494384375E-001, +0.00000000000E+000
+4.26200000000E+005, +5.60651445597E-001, +0.00000000000E+000
+4.26400000000E+005, +5.61369558836E-001, +0.00000000000E+000
+4.26600000000E+005, +5.61136069851E-001, +0.00000000000E+000
+4.26800000000E+005, +5.61124677896E-001, +0.00000000000E+000
+4.27000000000E+005, +5.61786132444E-001, +0.00000000000E+000
+4.27200000000E+005, +5.62138131424E-001, +0.00000000000E+000
+4.27400000000E+005, +5.61639185355E-001, +0.00000000000E+000
+4.27600000000E+005, +5.62455757663E-001, +0.00000000000E+000
+4.27800000000E+005, +5.62144296113E-001, +0.00000000000E+000
+4.28000000000E+005, +5.62230543488E-001, +0.00000000000E+000
+4.28200000000E+005, +5.63249238819E-001, +0.00000000000E+000
+4.28400000000E+005, +5.62641708010E-001, +0.00000000000E+000
+4.28600000000E+005, +5.63531084961E-001, +0.00000000000E+000
+4.28800000000E+005, +5.63005106706E-001, +0.00000000000E+000
+4.29000000000E+005, +5.63726735093E-001, +0.00000000000E+000
+4.29200000000E+005, +5.63823838878E-001, +0.00000000000E+000
+4.29400000000E+005, +5.63762687911E-001, +0.00000000000E+000
+4.29600000000E+005, +5.63724674295E-001, +0.00000000000E+000
+4.29800000000E+005, +5.64257450981E-001, +0.00000000000E+000
+4.30000000000E+005, +5.64583481972E-001, +0.00000000000E+000
+4.30200000000E+005, +5.64831356855E-001, +0.00000000000E+000
+4.30400000000E+005, +5.64623520136E-001, +0.00000000000E+000
+4.30600000000E+005, +5.64855761957E-001, +0.00000000000E+000
+4.30800000000E+005, +5.65611983989E-001, +0.00000000000E+000
+4.31000000000E+005, +5.65205672765E-001, +0.00000000000E+000
+4.31200000000E+005, +5.65444370826E-001, +0.00000000000E+000
+4.31400000000E+005, +5.65407479904E-001, +0.00000000000E+000
+4.31600000000E+005, +5.65917530189E-001, +0.00000000000E+000
+4.31800000000E+005, +5.66465086784E-001, +0.00000000000E+000
+4.32000000000E+005, +5.66089733376E-001, +0.00000000000E+000
+4.32200000000E+005, +5.66360870879E-001, +0.00000000000E+000
+4.32400000000E+005, +5.66358199552E-001, +0.00000000000E+000
+4.32600000000E+005, +5.66907481201E-001, +0.00000000000E+000
+4.32800000000E+005, +5.66540785699E-001, +0.00000000000E+000
+4.33000000000E+005, +5.67035160142E-001, +0.00000000000E+000
+4.33200000000E+005, +5.67742388572E-001, +0.00000000000E+000
+4.33400000000E+005, +5.67040633675E-001, +0.00000000000E+000
+4.33600000000E+005, +5.67348744691E-001, +0.00000000000E+000
+4.33800000000E+005, +5.67166220751E-001, +0.00000000000E+000
+4.34000000000E+005, +5.67343640756E-001, +0.00000000000E+000
+4.34200000000E+005, +5.67442908335E-001, +0.00000000000E+000
+4.34400000000E+005, +5.67213279747E-001, +0.00000000000E+000
+4.34600000000E+005, +5.67184534478E-001, +0.00000000000E+000
+4.34800000000E+005, +5.67347871298E-001, +0.00000000000E+000
+4.35000000000E+005, +5.67152885044E-001, +0.00000000000E+000
+4.35200000000E+005, +5.66730346030E-001, +0.00000000000E+000
+4.35400000000E+005, +5.66843606444E-001, +0.00000000000E+000
+4.35600000000E+005, +5.66009701216E-001, +0.00000000000E+000
+4.35800000000E+005, +5.65793618980E-001, +0.00000000000E+000
+4.36000000000E+005, +5.65361289543E-001, +0.00000000000E+000
+4.36200000000E+005, +5.64438183255E-001, +0.00000000000E+000
+4.36400000000E+005, +5.64188983863E-001, +0.00000000000E+000
+4.36600000000E+005, +5.62898979607E-001, +0.00000000000E+000
+4.36800000000E+005, +5.61946646880E-001, +0.00000000000E+000
+4.37000000000E+005, +5.60857280709E-001, +0.00000000000E+000
+4.37200000000E+005, +5.59348119832E-001, +0.00000000000E+000
+4.37400000000E+005, +5.57799413957E-001, +0.00000000000E+000
+4.37600000000E+005, +5.56049434239E-001, +0.00000000000E+000
+4.37800000000E+005, +5.54302663679E-001, +0.00000000000E+000
+4.38000000000E+005, +5.52022344564E-001, +0.00000000000E+000
+4.38200000000E+005, +5.49495324083E-001, +0.00000000000E+000
+4.38400000000E+005, +5.46829583476E-001, +0.00000000000E+000
+4.38600000000E+005, +5.44625172904E-001, +0.00000000000E+000
+4.38800000000E+005, +5.40961243421E-001, +0.00000000000E+000
+4.39000000000E+005, +5.38268104085E-001, +0.00000000000E+000
+4.39200000000E+005, +5.35252036639E-001, +0.00000000000E+000
+4.39400000000E+005, +5.32926646739E-001, +0.00000000000E+000
+4.39600000000E+005, +5.30094067891E-001, +0.00000000000E+000
+4.39800000000E+005, +5.27544459712E-001, +0.00000000000E+000
+4.40000000000E+005, +5.25612400466E-001, +0.00000000000E+000
+4.40200000000E+005, +5.23889031643E-001, +0.00000000000E+000
+4.40400000000E+005, +5.22872553862E-001, +0.00000000000E+000
+4.40600000000E+005, +5.22939190239E-001, +0.00000000000E+000
+4.40800000000E+005, +5.22811904642E-001, +0.00000000000E+000
+4.41000000000E+005, +5.22864959933E-001, +0.00000000000E+000
+4.41200000000E+005, +5.24122234531E-001, +0.00000000000E+000
+4.41400000000E+005, +5.26172701868E-001, +0.00000000000E+000
+4.41600000000E+005, +5.28664684185E-001, +0.00000000000E+000
+4.41800000000E+005, +5.30512724295E-001, +0.00000000000E+000
+4.42000000000E+005, +5.33318458979E-001, +0.00000000000E+000
+4.42200000000E+005, +5.35665260132E-001, +0.00000000000E+000
+4.42400000000E+005, +5.38748824893E-001, +0.00000000000E+000
+4.42600000000E+005, +5.40769675640E-001, +0.00000000000E+000
+4.42800000000E+005, +5.43100450843E-001, +0.00000000000E+000
+4.43000000000E+005, +5.45546123976E-001, +0.00000000000E+000
+4.43200000000E+005, +5.46662353490E-001, +0.00000000000E+000
+4.43400000000E+005, +5.48523507683E-001, +0.00000000000E+000
+4.43600000000E+005, +5.50279784347E-001, +0.00000000000E+000
+4.43800000000E+005, +5.51021389024E-001, +0.00000000000E+000
+4.44000000000E+005, +5.52678483352E-001, +0.00000000000E+000
+4.44200000000E+005, +5.53513866852E-001, +0.00000000000E+000
+4.44400000000E+005, +5.54456890415E-001, +0.00000000000E+000
+4.44600000000E+005, +5.55619734646E-001, +0.00000000000E+000
+4.44800000000E+005, +5.56406056558E-001, +0.00000000000E+000
+4.45000000000E+005, +5.57379773924E-001, +0.00000000000E+000
+4.45200000000E+005, +5.58338648352E-001, +0.00000000000E+000
+4.45400000000E+005, +5.58827549752E-001, +0.00000000000E+000
+4.45600000000E+005, +5.60211862881E-001, +0.00000000000E+000
+4.45800000000E+005, +5.60611222845E-001, +0.00000000000E+000
+4.46000000000E+005, +5.61584716182E-001, +0.00000000000E+000
+4.46200000000E+005, +5.61911886040E-001, +0.00000000000E+000
+4.46400000000E+005, +5.62495814405E-001, +0.00000000000E+000
+4.46600000000E+005, +5.57214016190E-001, +0.00000000000E+000
+4.46800000000E+005, +5.66346801419E-001, +0.00000000000E+000
+4.47000000000E+005, +5.63576760694E-001, +0.00000000000E+000
+4.47200000000E+005, +5.64289789505E-001, +0.00000000000E+000
+4.47400000000E+005, +5.65579093722E-001, +0.00000000000E+000
+4.47600000000E+005, +5.65597011554E-001, +0.00000000000E+000
+4.47800000000E+005, +5.65507645448E-001, +0.00000000000E+000
+4.48000000000E+005, +5.66116521357E-001, +0.00000000000E+000
+4.48200000000E+005, +5.66488561472E-001, +0.00000000000E+000
+4.48400000000E+005, +5.66707562598E-001, +0.00000000000E+000
+4.48600000000E+005, +5.67636889950E-001, +0.00000000000E+000
+4.48800000000E+005, +5.67983797031E-001, +0.00000000000E+000
+4.49000000000E+005, +5.68385166262E-001, +0.00000000000E+000
+4.49200000000E+005, +5.68701342762E-001, +0.00000000000E+000
+4.49400000000E+005, +5.68825445601E-001, +0.00000000000E+000
+4.49600000000E+005, +5.69367876446E-001, +0.00000000000E+000
+4.49800000000E+005, +5.69575701175E-001, +0.00000000000E+000
+4.50000000000E+005, +5.69816260521E-001, +0.00000000000E+000
+4.50200000000E+005, +5.69987581837E-001, +0.00000000000E+000
+4.50400000000E+005, +5.70826056950E-001, +0.00000000000E+000
+4.50600000000E+005, +5.71191969572E-001, +0.00000000000E+000
+4.50800000000E+005, +5.71345063580E-001, +0.00000000000E+000
+4.51000000000E+005, +5.71401755910E-001, +0.00000000000E+000
+4.51200000000E+005, +5.71354661803E-001, +0.00000000000E+000
+4.51400000000E+005, +5.72036786109E-001, +0.00000000000E+000
+4.51600000000E+005, +5.72667433642E-001, +0.00000000000E+000
+4.51800000000E+005, +5.72148729750E-001, +0.00000000000E+000
+4.52000000000E+005, +5.73152499807E-001, +0.00000000000E+000
+4.52200000000E+005, +5.72690404502E-001, +0.00000000000E+000
+4.52400000000E+005, +5.73159868641E-001, +0.00000000000E+000
+4.52600000000E+005, +5.73039829385E-001, +0.00000000000E+000
+4.52800000000E+005, +5.73794871993E-001, +0.00000000000E+000
+4.53000000000E+005, +5.74154747405E-001, +0.00000000000E+000
+4.53200000000E+005, +5.74362312631E-001, +0.00000000000E+000
+4.53400000000E+005, +5.74334251152E-001, +0.00000000000E+000
+4.53600000000E+005, +5.74330629005E-001, +0.00000000000E+000
+4.53800000000E+005, +5.74940766790E-001, +0.00000000000E+000
+4.54000000000E+005, +5.75514663622E-001, +0.00000000000E+000
+4.54200000000E+005, +5.76008552551E-001, +0.00000000000E+000
+4.54400000000E+005, +5.75677757773E-001, +0.00000000000E+000
+4.54600000000E+005, +5.75590278895E-001, +0.00000000000E+000
+4.54800000000E+005, +5.76384259441E-001, +0.00000000000E+000
+4.55000000000E+005, +5.76734038844E-001, +0.00000000000E+000
+4.55200000000E+005, +5.75940453552E-001, +0.00000000000E+000
+4.55400000000E+005, +5.76460150603E-001, +0.00000000000E+000
+4.55600000000E+005, +5.76901203688E-001, +0.00000000000E+000
+4.55800000000E+005, +5.76920714693E-001, +0.00000000000E+000
+4.56000000000E+005, +5.77314950330E-001, +0.00000000000E+000
+4.56200000000E+005, +5.77316230735E-001, +0.00000000000E+000
+4.56400000000E+005, +5.77888195626E-001, +0.00000000000E+000
+4.56600000000E+005, +5.77984670187E-001, +0.00000000000E+000
+4.56800000000E+005, +5.78453217647E-001, +0.00000000000E+000
+4.57000000000E+005, +5.78262833345E-001, +0.00000000000E+000
+4.57200000000E+005, +5.77979679101E-001, +0.00000000000E+000
+4.57400000000E+005, +5.78641471551E-001, +0.00000000000E+000
+4.57600000000E+005, +5.78763631481E-001, +0.00000000000E+000
+4.57800000000E+005, +5.79367586993E-001, +0.00000000000E+000
+4.58000000000E+005, +5.79438996129E-001, +0.00000000000E+000
+4.58200000000E+005, +5.79422415822E-001, +0.00000000000E+000
+4.58400000000E+005, +5.79216457527E-001, +0.00000000000E+000
+4.58600000000E+005, +5.79806872162E-001, +0.00000000000E+000
+4.58800000000E+005, +5.80359017800E-001, +0.00000000000E+000
+4.59000000000E+005, +5.80657983437E-001, +0.00000000000E+000
+4.59200000000E+005, +5.80316303196E-001, +0.00000000000E+000
+4.59400000000E+005, +5.81316732291E-001, +0.00000000000E+000
+4.59600000000E+005, +5.81365417184E-001, +0.00000000000E+000
+4.59800000000E+005, +5.81142844314E-001, +0.00000000000E+000
+4.60000000000E+005, +5.81561702140E-001, +0.00000000000E+000
