"# Channel 1"
"# Trace 1"
Frequency, Formatted Data, Formatted Data
+4.20000000000E+005, +5.54310466012E-001, +0.00000000000E+000
+4.20200000000E+005, +5.55187894809E-001, +0.00000000000E+000
+4.20400000000E+005, +5.56024445581E-001, +0.00000000000E+000
+4.20600000000E+005, +5.55403017356E-001, +0.00000000000E+000
+4.20800000000E+005, +5.56257875016E-001, +0.00000000000E+000
+4.21000000000E+005, +5.55820770867E-001, +0.00000000000E+000
+4.21200000000E+005, +5.55730417499E-001, +0.00000000000E+000
+4.21400000000E+005, +5.56015529145E-001, +0.00000000000E+000
+4.21600000000E+005, +5.56614902016E-001, +0.00000000000E+000
+4.21800000000E+005, +5.56990574675E-001, +0.00000000000E+000
+4.22000000000E+005, +5.57365891338E-001, +0.00000000000E+000
+4.22200000000E+005, +5.57515026340E-001, +0.00000000000E+000
+4.22400000000E+005, +5.58038734352E-001, +0.00000000000E+000
+4.22600000000E+005, +5.57738818131E-001, +0.00000000000E+000
+4.22800000000E+005, +5.57763055831E-001, +0.00000000000E+000
+4.23000000000E+005, +5.58068039465E-001, +0.00000000000E+000
+4.23200000000E+005, +5.57714031785E-001, +0.00000000000E+000
+4.23400000000E+005, +5.58680371684E-001, +0.00000000000E+000
+4.23600000000E+005, +5.58369875430E-001, +0.00000000000E+000
+4.23800000000E+005, +5.59006597204E-001, +0.00000000000E+000
+4.24000000000E+005, +5.59261022394E-001, +0.00000000000E+000
+4.24200000000E+005, +5.59414812638E-001, +0.00000000000E+000
+4.24400000000E+005, +5.59634364302E-001, +0.00000000000E+000
+4.24600000000E+005, +5.59615650303E-001, +0.00000000000E+000
+4.24800000000E+005, +5.59745056428E-001, +0.00000000000E+000
+4.25000000000E+005, +5.60012897720E-001, +0.00000000000E+000
+4.25200000000E+005, +5.60150088571E-001, +0.00000000000E+000
+4.25400000000E+005, +5.60457237950E-001, +0.00000000000E+000
+4.25600000000E+005, +5.61015687658E-001, +0.00000000000E+000
+4.25800000000E+005, +5.60951144263E-001, +0.00000000000E+000
+4.26000000000E+005, +5.61023493268E-001, +0.00000000000E+000
+4.26200000000E+005, +5.61393472910E-001, +0.00000000000E+000
+4.26400000000E+005, +5.61864429234E-001, +0.00000000000E+000
+4.26600000000E+005, +5.61380001025E-001, +0.00000000000E+000
+4.26800000000E+005, +5.61417710576E-001, +0.00000000000E+000
+4.27000000000E+005, +5.62090816248E-001, +0.00000000000E+000
+4.27200000000E+005, +5.61752425634E-001, +0.00000000000E+000
+4.27400000000E+005, +5.62230082107E-001, +0.00000000000E+000
+4.27600000000E+005, +5.62618802883E-001, +0.00000000000E+000
+4.27800000000E+005, +5.62295493890E-001, +0.00000000000E+000
+4.28000000000E+005, +5.62956818955E-001, +0.00000000000E+000
+4.28200000000E+005, +5.62737755543E-001, +0.00000000000E+000
+4.28400000000E+005, +5.63112838865E-001, +0.00000000000E+000
+4.28600000000E+005, +5.63125507904E-001, +0.00000000000E+000
+4.28800000000E+005, +5.64174811350E-001, +0.00000000000E+000
+4.29000000000E+005, +5.63844316582E-001, +0.00000000000E+000
+4.29200000000E+005, +5.64129748261E-001, +0.00000000000E+000
+4.29400000000E+005, +5.64543316304E-001, +0.00000000000E+000
+4.29600000000E+005, +5.64270525085E-001, +0.00000000000E+000
+4.29800000000E+005, +5.64590827604E-001, +0.00000000000E+000
+4.30000000000E+005, +5.64148697010E-001, +0.00000000000E+000
+4.30200000000E+005, +5.64735585611E-001, +0.00000000000E+000
+4.30400000000E+005, +5.65301182370E-001, +0.00000000000E+000
+4.30600000000E+005, +5.65181840488E-001, +0.00000000000E+000
+4.30800000000E+005, +5.65805908734E-001, +0.00000000000E+000
+4.31000000000E+005, +5.65526873065E-001, +0.00000000000E+000
+4.31200000000E+005, +5.65238805246E-001, +0.00000000000E+000
+4.31400000000E+005, +5.66138511259E-001, +0.00000000000E+000
+4.31600000000E+005, +5.66422708921E-001, +0.00000000000E+000
+4.31800000000E+005, +5.66547021781E-001, +0.00000000000E+000
+4.32000000000E+005, +5.66678102682E-001, +0.00000000000E+000
+4.32200000000E+005, +5.66722028893E-001, +0.00000000000E+000
+4.32400000000E+005, +5.66745176058E-001, +0.00000000000E+000
+4.32600000000E+005, +5.67213669755E-001, +0.00000000000E+000
+4.32800000000E+005, +5.67516714314E-001, +0.00000000000E+000
+4.33000000000E+005, +5.67775604777E-001, +0.00000000000E+000
+4.33200000000E+005, +5.67656023037E-001, +0.00000000000E+000
+4.33400000000E+005, +5.67713002916E-001, +0.00000000000E+000
+4.33600000000E+005, +5.67470184988E-001, +0.00000000000E+000
+4.33800000000E+005, +5.67102446591E-001, +0.00000000000E+000
+4.34000000000E+005, +5.67664707317E-001, +0.00000000000E+000
+4.34200000000E+005, +5.67082706855E-001, +0.00000000000E+000
+4.34400000000E+005, +5.67818749371E-001, +0.00000000000E+000
+4.34600000000E+005, +5.67096060392E-001, +0.00000000000E+000
+4.34800000000E+005, +5.67419168025E-001, +0.00000000000E+000
+4.35000000000E+005, +5.66938327510E-001, +0.00000000000E+000
+4.35200000000E+005, +5.66738761861E-001, +0.00000000000E+000
+4.35400000000E+005, +5.66396951724E-001, +0.00000000000E+000
+4.35600000000E+005, +5.66101561286E-001, +0.00000000000E+000
+4.35800000000E+005, +5.65908648737E-001, +0.00000000000E+000
+4.36000000000E+005, +5.65903240717E-001, +0.00000000000E+000
+4.36200000000E+005, +5.64972038321E-001, +0.00000000000E+000
+4.36400000000E+005, +5.64221799628E-001, +0.00000000000E+000
+4.36600000000E+005, +5.63148885332E-001, +0.00000000000E+000
+4.36800000000E+005, +5.61817319863E-001, +0.00000000000E+000
+4.37000000000E+005, +5.60327243304E-001, +0.00000000000E+000
+4.37200000000E+005, +5.59481616081E-001, +0.00000000000E+000
+4.37400000000E+005, +5.57936202512E-001, +0.00000000000E+000
+4.37600000000E+005, +5.55876766784E-001, +0.00000000000E+000
+4.37800000000E+005, +5.53761364530E-001, +0.00000000000E+000
+4.38000000000E+005, +5.51112767550E-001, +0.00000000000E+000
+4.38200000000E+005, +5.49235587151E-001, +0.00000000000E+000
+4.38400000000E+005, +5.46495573251E-001, +0.00000000000E+000
+4.38600000000E+005, +5.43766878672E-001, +0.00000000000E+000
+4.38800000000E+005, +5.41468117918E-001, +0.00000000000E+000
+4.39000000000E+005, +5.37947029250E-001, +0.00000000000E+000
+4.39200000000E+005, +5.35530088568E-001, +0.00000000000E+000
+4.39400000000E+005, +5.32486149357E-001, +0.00000000000E+000
+4.39600000000E+005, +5.30234788246E-001, +0.00000000000E+000
+4.39800000000E+005, +5.27354346845E-001, +0.00000000000E+000
+4.40000000000E+005, +5.25984960279E-001, +0.00000000000E+000
+4.40200000000E+005, +5.24328005203E-001, +0.00000000000E+000
+4.40400000000E+005, +5.23664618871E-001, +0.00000000000E+000
+4.40600000000E+005, +5.23681067892E-001, +0.00000000000E+000
+4.40800000000E+005, +5.23624000065E-001, +0.00000000000E+000
+4.41000000000E+005, +5.24036846635E-001, +0.00000000000E+000
+4.41200000000E+005, +5.25328798714E-001, +0.00000000000E+000
+4.41400000000E+005, +5.27455178541E-001, +0.00000000000E+000
+4.41600000000E+005, +5.29506078984E-001, +0.00000000000E+000
+4.41800000000E+005, +5.31801892363E-001, +0.00000000000E+000
+4.42000000000E+005, +5.34683377276E-001, +0.00000000000E+000
+4.42200000000E+005, +5.37570474367E-001, +0.00000000000E+000
+4.42400000000E+005, +5.39491763726E-001, +0.00000000000E+000
+4.42600000000E+005, +5.41743484739E-001, +0.00000000000E+000
+4.42800000000E+005, +5.43849655828E-001, +0.00000000000E+000
+4.43000000000E+005, +5.45240695035E-001, +0.00000000000E+000
+4.43200000000E+005, +5.47049752290E-001, +0.00000000000E+000
+4.43400000000E+005, +5.48866863786E-001, +0.00000000000E+000
+4.43600000000E+005, +5.50465097624E-001, +0.00000000000E+000
+4.43800000000E+005, +5.51694513800E-001, +0.00000000000E+000
+4.44000000000E+005, +5.53307584655E-001, +0.00000000000E+000
+4.44200000000E+005, +5.54308430053E-001, +0.00000000000E+000
+4.44400000000E+005, +5.54887556656E-001, +0.00000000000E+000
+4.44600000000E+005, +5.56561794671E-001, +0.00000000000E+000
+4.44800000000E+005, +5.57326458590E-001, +0.00000000000E+000
+4.45000000000E+005, +5.57306060682E-001, +0.00000000000E+000
+4.45200000000E+005, +5.58069889814E-001, +0.00000000000E+000
+4.45400000000E+005, +5.59136640590E-001, +0.00000000000E+000
+4.45600000000E+005, +5.60148878957E-001, +0.00000000000E+000
+4.45800000000E+005, +5.60753192117E-001, +0.00000000000E+000
+4.46000000000E+005, +5.61185151606E-001, +0.00000000000E+000
+4.46200000000E+005, +5.62522010227E-001, +0.00000000000E+000
+4.46400000000E+005, +5.62782872304E-001, +0.00000000000E+000
+4.46600000000E+005, +5.56893447511E-001, +0.00000000000E+000
+4.46800000000E+005, +5.66020014422E-001, +0.00000000000E+000
+4.47000000000E+005, +5.63740741812E-001, +0.00000000000E+000
+4.47200000000E+005, +5.64598131561E-001, +0.00000000000E+000
+4.47400000000E+005, +5.65502455736E-001, +0.00000000000E+000
+4.47600000000E+005, +5.65965327570E-001, +0.00000000000E+000
