frequency;signal;group;sensor;time;hash
0.4234;0.562903381266;C;1;0;C-1-0
0.4236;0.56281371825;C;1;0;C-1-0
0.42379999999999995;0.562981635979;C;1;0;C-1-0
0.424;0.563582572424;C;1;0;C-1-0
0.42419999999999997;0.563803914045;C;1;0;C-1-0
0.4244;0.564397210006;C;1;0;C-1-0
0.4246;0.564297056747;C;1;0;C-1-0
0.42479999999999996;0.564363947885;C;1;0;C-1-0
0.425;0.564512377626;C;1;0;C-1-0
0.42519999999999997;0.56533083684;C;1;0;C-1-0
0.4254;0.565014772122;C;1;0;C-1-0
0.4256;0.565015449034;C;1;0;C-1-0
0.42579999999999996;0.565091580562;C;1;0;C-1-0
0.426;0.565327380387;C;1;0;C-1-0
0.42619999999999997;0.565780316633;C;1;0;C-1-0
0.4264;0.566175263918;C;1;0;C-1-0
0.4266;0.565804038592;C;1;0;C-1-0
0.42679999999999996;0.566629663205;C;1;0;C-1-0
0.427;0.566642848886;C;1;0;C-1-0
0.42719999999999997;0.567324297324;C;1;0;C-1-0
0.4274;0.567107277008;C;1;0;C-1-0
0.4276;0.567618319589;C;1;0;C-1-0
0.42779999999999996;0.568030128859;C;1;0;C-1-0
0.428;0.567506086444;C;1;0;C-1-0
0.42819999999999997;0.567879711552;C;1;0;C-1-0
0.4284;0.568392783025;C;1;0;C-1-0
0.4286;0.568455106048;C;1;0;C-1-0
0.42879999999999996;0.56820324715;C;1;0;C-1-0
0.429;0.568700053242;C;1;0;C-1-0
0.42919999999999997;0.569280265341;C;1;0;C-1-0
0.4294;0.569454569573;C;1;0;C-1-0
0.4296;0.569222590541;C;1;0;C-1-0
0.42979999999999996;0.569821398408;C;1;0;C-1-0
0.43;0.569883563472;C;1;0;C-1-0
0.43019999999999997;0.570257704252;C;1;0;C-1-0
0.4304;0.570128826238;C;1;0;C-1-0
0.4306;0.569933393288;C;1;0;C-1-0
0.43079999999999996;0.570553373802;C;1;0;C-1-0
0.431;0.570626487926;C;1;0;C-1-0
0.43119999999999997;0.57053195601;C;1;0;C-1-0
0.4314;0.570679634537;C;1;0;C-1-0
0.4316;0.570483982923;C;1;0;C-1-0
0.43179999999999996;0.570823037137;C;1;0;C-1-0
0.432;0.571264590045;C;1;0;C-1-0
0.4322;0.570728391125;C;1;0;C-1-0
0.4324;0.570302462524;C;1;0;C-1-0
0.4326;0.570619067055;C;1;0;C-1-0
0.43279999999999996;0.570657626521;C;1;0;C-1-0
0.433;0.570679723966;C;1;0;C-1-0
0.4332;0.57006348928;C;1;0;C-1-0
0.4334;0.569743407607;C;1;0;C-1-0
0.4336;0.569264706378;C;1;0;C-1-0
0.43379999999999996;0.568860587851;C;1;0;C-1-0
0.434;0.568111595932;C;1;0;C-1-0
0.4342;0.567975593278;C;1;0;C-1-0
